,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
spinydog,0.090189781,1.952671779,9.334322368,28.80493233,77.55885308
winterskate,0.093423453,0.939220418,3.915192982,11.46903371,44.88111925
Aherring,0.01,0.03,0.8,1.5,3
Acod,0.035,0.103736364,1.952671779,18.42060702,84.48736889
haddock,0.031,0.096183673,0.939220418,3.915192982,12.07313904
yellowtailfl,0.016072464,0.086965517,0.237958824,0.442743017,1.583142857
winterfl,0.016072464,0.086965517,0.237958824,0.442743017,1.583142857
Amackerel,0.01,0.08,1.3,2,3
silverhake,0.039893347,0.179748344,0.512104803,4.879748476,20.262
goosefish,0.090189781,1.952671779,9.334322368,28.80493233,77.55885308
