,spinydog,winterskate,Aherring,Acod,haddock,yellowtailfl,winterfl,Amackerel,silverhake,goosefish
eggRicker_alpha,3.000000000000000E+01,1.000000000000000E+01,5.000000000000000E-01,1.000000000000000E-02,2.000000000000000E-02,5.000000000000000E-03,3.000000000000000E-02,2.000000000000000E-02,1.000000000000000E+00,1.000000000000000E+00
eggRicker_shape,8.000000000000000E-01,7.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,4.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01
eggRicker_beta,2.666667000000000E-03,2.333330000000000E-04,5.000000000000000E-11,6.250000000000000E-14,5.555560000000000E-12,2.941180000000000E-13,1.142860000000000E-12,1.428570000000000E-11,5.555560000000000E-12,6.250000000000000E-04
DS_alpha,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00,5.000000000000000E+00
DS_shape,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00,-1.000000000000000E+00
DS_beta,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01,5.000000000000000E-01
gamma_alpha,4.376178240000000E-01,4.608582001500000E+10,1.408193426000000E+02,6.599340000000000E-04,8.830246100000000E-02,6.570000000000000E-07,3.880000000000000E-12,1.726117346000000E+00,7.667423940000000E-01,0.000000000000000E+00
gamma_shape,5.056954960000000E-01,-1.486725218000000E+00,4.187076290000000E-01,9.967186590000000E-01,6.847370780000000E-01,1.710381856000000E+00,2.961659216000000E+00,5.401622350000000E-01,6.651287490000000E-01,0.000000000000000E+00
gamma_beta,-9.803559000000000E-06,-1.827333000000000E-06,4.206507000000000E-07,4.110799000000000E-07,-1.487766000000000E-08,1.865870000000000E-06,1.891070000000000E-05,-4.798567000000000E-08,6.730858000000000E-06,0.000000000000000E+00
ricker_alpha,4.333652000000000E-03,6.568630000000000E-04,1.443672470000000E-01,6.361860000000000E-04,1.679844000000000E-03,3.039086000000000E-03,6.281531000000000E-03,7.206365000000000E-03,3.226779700000000E-02,4.793588000000000E-03
ricker_shape,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00
ricker_beta,3.184706000000000E-06,4.799601000000000E-07,1.189988000000000E-06,4.236512000000000E-07,1.005712000000000E-07,2.965111000000000E-07,5.154120000000000E-06,8.386973000000000E-07,1.570826000000000E-05,1.905803000000000E-05
BH_alpha,4.208993000000000E-03,1.450589000000000E-03,5.186060940000000E-01,5.824760000000000E-04,4.712820000000000E-04,2.494885000000000E-03,4.997255000000000E-03,7.834125000000000E-03,4.313432700000000E-02,-4.553528900000000E-02
BH_shape,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00
BH_beta,2.023117000000000E-05,2.859534000000000E-06,2.359445000000000E-05,7.986115000000000E-07,4.526572000000000E-08,2.292950000000000E-07,5.934160000000000E-06,3.229476000000000E-06,4.265411000000000E-05,-5.619068000000000E-04
shepherd_alpha,1.400000000000000E-03,5.000000000000000E-04,1.310000000000000E-02,5.300000000000000E-04,4.000000000000000E-03,1.180000000000000E-02,5.510000000000000E-03,3.000000000000000E-03,8.070000000000000E-02,5.000000000000000E-03
shepherd_shape,1.000000000000000E+00,2.000000000000000E+00,2.000000000000000E+00,4.820000000000000E+00,1.000000000000000E+00,2.000000000000000E+00,2.000000000000000E+00,1.000000000000000E+00,4.200000000000000E+00,2.000000000000000E+00
shepherd_beta,4.199580000000000E+04,1.198461000000000E+05,7.624470000000000E+05,1.807690000000000E+05,4.725450000000000E+03,6.354310000000000E+03,6.437000000000000E+03,9.465817300000000E+04,1.777000000000000E+04,4.661300000000000E+03
sigma,1.026700000000000E+00,1.184000000000000E+00,7.258000000000000E-01,7.457000000000000E-01,1.688300000000000E+00,6.642000000000000E-01,5.319000000000000E-01,8.906000000000000E-01,4.304000000000000E-01,4.182000000000000E-01
type,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00,6.000000000000000E+00
stochastic,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00,1.000000000000000E+00
